id,species,location,climbing_style,pred.regime,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
2016_ca_35_lateral.jpg,Cotylopus acutipinnis,reunion,powerburst,Diminished,0.021566244,-0.034328822,0.002217263,-0.001261184,0.002260148,0.004148771,0.005604755,-0.005226048,0.013932517,-0.003731155,0.001314319,-0.003097122,0.003356668,-0.000594784,-0.000278829,-0.004541857,0.001849203,0.00116557,0.002239811,-0.000232509
2016_ca_39_lateral.jpg,Cotylopus acutipinnis,reunion,powerburst,Diminished,0.019143264,-0.018567703,-0.031760117,-0.003150098,0.016787731,0.003200567,-0.004411885,-0.00890503,-0.000751515,0.006134558,0.000309827,0.004644161,-0.001233067,-0.004673459,0.002794398,-0.006442908,-0.001442126,-0.00101241,-0.000190646,-0.001012542
lc_2017_01_lateral.JPG,Lentipes concolor,nanue2,powerburst,Free,0.020809964,0.011059492,0.046952984,-2.62E-05,0.037896496,-0.010760395,-0.014038166,0.002057986,0.014115309,0.011211177,0.000408125,0.004966954,0.008094809,0.001238138,-0.003743294,-0.002953746,0.005428386,0.001344455,-0.00085744,0.000564483
lc_2017_03_lateral.JPG,Lentipes concolor,nanue2,powerburst,Free,0.020982426,0.002758678,0.018222531,-0.005047709,0.0008845,0.008719775,-0.024222128,0.006109072,-0.018011883,-0.006405111,0.006998578,0.014445895,8.46E-05,0.004253748,0.001036146,0.002368934,-0.003501441,0.002405249,0.000731999,0.002272268
lc_2017_04_lateral.JPG,Lentipes concolor,nanue2,powerburst,Free,-0.009280059,-0.036321427,0.069203037,0.012857167,-0.000456165,-0.007464504,-0.020522101,0.006307421,0.012668779,0.0107254,-0.002648827,-0.001224787,-0.010214508,-0.004618225,-0.002193652,-0.000558411,-0.002841198,0.000651714,-0.000613905,-0.000534425
lc_2017_07_lateral.JPG,Lentipes concolor,nanue2,powerburst,Free,0.016095931,0.007769457,0.02205597,-0.020194154,0.017791421,0.004058837,-0.024898736,0.004980174,0.011982642,-0.006231992,0.00256298,0.003671462,0.005337128,0.006458456,-0.000425278,-0.001123233,-0.002091521,-0.001231444,-0.000776789,-0.00056535
lc_2017_08_lateral.JPG,Lentipes concolor,nanue2,powerburst,Free,0.041955552,0.024974357,0.039985048,-0.003400603,0.016407406,0.016120256,0.003184891,-0.012475719,0.002051457,-0.014414273,-0.00922254,-0.009099331,0.002194751,-0.003052575,-0.00022945,0.002287631,-0.004202802,0.002065298,-0.003068644,-0.000617174
lc_2017_02_lateral.JPG,Lentipes concolor,nanue2,powerburst,Free,0.011830606,0.015147734,0.040328034,0.018502551,0.013511882,0.003586835,0.003666827,-0.010248228,-0.00819259,0.006285142,-0.011108793,-0.001467388,-0.005805223,-0.005219495,0.007685849,-0.000238334,0.003558071,0.000367671,-0.001928251,-0.000205832
lc_2017_05_lateral.JPG,Lentipes concolor,nanue2,powerburst,Free,0.008636897,0.009668202,0.016830506,0.004703998,0.011019263,0.010727002,-0.024160181,-0.015890918,-0.009957302,-0.000550868,0.010440259,-0.001684991,-0.004012202,0.000442422,-0.001472124,-0.000938169,0.002090938,-0.002877849,0.002285356,-0.00117872
lc_2017_06_lateral.JPG,Lentipes concolor,nanue2,powerburst,Free,0.038565277,0.043400098,0.036193222,0.014175307,0.002537899,0.020173041,0.012646866,0.000553855,-0.005839577,0.000203675,-0.000567851,0.005828975,0.008169396,0.00135081,0.00323035,0.000966099,0.000664105,0.001416382,-0.001090895,-0.001529101
